Type                                  Module                      Label             Process   
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueCharged03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueCharged04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueChargedAll03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueChargedAll04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGamma03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGamma04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGammaHighThreshold03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGammaHighThreshold04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutral03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutral04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutralHighThreshold03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutralHighThreshold04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValuePU03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValuePU04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueCharged03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueCharged04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueChargedAll03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueChargedAll04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGamma03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGamma04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGammaHighThreshold03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGammaHighThreshold04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutral03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutral04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutralHighThreshold03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutralHighThreshold04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValuePU03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValuePU04"   "HLT"     
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "electrons"       "HLT"     
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "muons"           "HLT"     
